Date,adj_close_tsla,close_tsla,high_tsla,low_tsla,open_tsla,volume_tsla,SMA,EMA,CMA (OPEN)
1/3/2017,14.4659996,14.4659996,14.6886673,14.06400013,14.32400036,88849500,,,
1/4/2017,15.13266659,15.13266659,15.19999981,14.28733253,14.3166666,168202500,,,14.32033348
1/5/2017,15.11666679,15.11666679,15.16533279,14.7966671,15.09466743,88675500,,,14.70566702
1/6/2017,15.26733303,15.26733303,15.35400009,15.02999973,15.12866688,82918500,,,15.11166716
1/9/2017,15.41866684,15.41866684,15.46133327,15.19999981,15.26466656,59692500,,,15.19666672
1/10/2017,15.32466698,15.32466698,15.46666718,15.1260004,15.46666718,54900000,,,15.36566687
1/11/2017,15.31533337,15.31533337,15.33199978,15.11200047,15.27133274,54762000,,15.2625556,15.36899996
1/12/2017,15.30599976,15.30599976,15.38000011,15.03866673,15.27066708,56853000,,15.27045453,15.27099991
1/13/2017,15.85000038,15.85000038,15.85666656,15.30599976,15.33333302,91395000,15.24414815,15.3758264,15.30200005
1/17/2017,15.70533276,15.70533276,15.99733257,15.62466717,15.77999973,69262500,15.38185183,15.43573658,15.55666637
1/18/2017,15.89066696,15.89066696,15.98066711,15.70533276,15.77666664,56535000,15.4660741,15.51845112,15.77833319
1/19/2017,16.25066757,16.25066757,16.57866669,16.04999924,16.48333359,115984500,15.59207418,15.65158125,16.13000011
1/20/2017,16.31533241,16.31533241,16.39999962,16.20066643,16.36400032,63064500,15.70851856,15.77226316,16.42366695
1/23/2017,16.59466743,16.59466743,16.72599983,16.36666679,16.38999939,93943500,15.83918529,15.92179106,16.37699986
1/24/2017,16.97400093,16.97400093,16.98666763,16.64333344,16.66666794,74482500,16.02244462,16.11310175,16.52833366
1/25/2017,16.96466637,16.96466637,17.23066711,16.78666687,17.15399933,77139000,16.20570384,16.26793153,16.91033363
1/26/2017,16.83399963,16.83399963,17.04933357,16.71666718,16.95266724,47281500,16.37548161,16.3708529,17.05333328
1/27/2017,16.86333275,16.86333275,16.86666679,16.56800079,16.75866699,47494500,16.48807409,16.4603946,16.85566711
1/30/2017,16.70866776,16.70866776,17.01933289,16.47333336,16.83533287,57016500,16.59955576,16.50553513,16.79699993
1/31/2017,16.79533386,16.79533386,17.0593338,16.51333237,16.61599922,61741500,16.7000743,16.55822575,16.72566605
2/1/2017,16.61599922,16.61599922,16.87999916,16.60333252,16.87000084,59382000,16.74066671,16.56873001,16.74300003
2/2/2017,16.77000046,16.77000046,16.82799911,16.51399994,16.55599976,37497000,16.79118538,16.6053246,16.7130003
2/3/2017,16.75533295,16.75533295,16.81200027,16.64533234,16.79400063,32800500,16.8090371,16.63259882,16.67500019
2/6/2017,17.18466759,17.18466759,17.18799973,16.70866776,16.73333359,53437500,16.83244451,16.73297486,16.76366711
2/7/2017,17.16533279,17.16533279,17.33333206,17.09466743,17.21266747,63672000,16.85474078,16.81158531,16.97300053
2/8/2017,17.47200012,17.47200012,17.55733299,17.07999992,17.15666771,58995000,16.92562972,16.93166061,17.18466759
2/9/2017,17.94666672,17.94666672,18.07866669,17.74333382,17.75,117303000,17.04600016,17.11620699,17.45333385
2/10/2017,17.94866753,17.94866753,18.06333351,17.74066734,17.98600006,54295500,17.18377792,17.2675633,17.86800003
2/13/2017,18.70666695,18.70666695,18.71933365,18.0340004,18.04933357,105444000,17.39614826,17.52921825,18.01766682
2/14/2017,18.73200035,18.73200035,19.15933228,18.5739994,18.60199928,110178000,17.63125949,17.74790568,18.32566643
2/15/2017,18.65066719,18.65066719,18.81599998,18.42933273,18.66666794,74218500,17.84022246,17.91204398,18.63433361
2/16/2017,17.93000031,17.93000031,18.66666794,17.89999962,18.50666618,106159500,17.97074106,17.91530876,18.58666706
2/17/2017,18.14866638,18.14866638,18.19266701,17.61000061,17.71999931,93856500,18.07785204,17.95773738,18.11333275
2/21/2017,18.49266624,18.49266624,18.76000023,18.26733208,18.36333275,85150500,18.22533353,18.05499707,18.04166603
2/22/2017,18.23399925,18.23399925,18.89666748,18.17333221,18.68733215,131325000,18.3100001,18.08754289,18.52533245
2/23/2017,17.06599998,17.06599998,17.6439991,17.03733253,17.60000038,223728000,18.21214824,17.901808,18.14366627
2/24/2017,17.13333321,17.13333321,17.21666718,16.68000031,16.84399986,122574000,18.12155554,17.76208545,17.22200012
2/27/2017,16.41533279,16.41533279,16.55733299,16.13400078,16.54466629,171912000,17.86696286,17.51722158,16.69433308
2/28/2017,16.66600037,16.66600037,16.73333359,16.26000023,16.27933311,91171500,17.6374073,17.36245424,16.4119997
3/1/2017,16.66799927,16.66799927,16.98999977,16.60733223,16.94533348,72142500,17.41711087,17.23618983,16.6123333
3/2/2017,16.69866753,16.69866753,16.88533211,16.55133247,16.64733315,50277000,17.28029611,17.1384586,16.79633331
3/3/2017,16.77133369,16.77133369,16.79333305,16.60000038,16.7159996,43791000,17.12725915,17.07170868,16.68166637
3/6/2017,16.74733353,16.74733353,16.78000069,16.50066757,16.52733231,50332500,16.93333329,17.01273144,16.62166595
3/7/2017,16.57266617,16.57266617,16.9260006,16.55466652,16.79466629,51892500,16.74874073,16.93271965,16.6609993
3/8/2017,16.45800018,16.45800018,16.67133331,16.35466766,16.46666718,55878000,16.68118519,16.84640711,16.63066673
3/9/2017,16.32666779,16.32666779,16.57733345,16.20000076,16.50866699,58189500,16.5915557,16.75190914,16.48766708
3/10/2017,16.24600029,16.24600029,16.43333244,16.20000076,16.41399956,45994500,16.57274098,16.65992581,16.46133327
3/13/2017,16.41133308,16.41133308,16.45666695,16.18533325,16.32133293,45339000,16.54444461,16.61472718,16.36766624
3/14/2017,17.20000076,17.20000076,17.20800018,16.40133286,16.40733337,113976000,16.60355589,16.72114045,16.36433315
3/15/2017,17.04866791,17.04866791,17.39999962,16.95133209,17.13333321,79962000,16.64244482,16.78069084,16.77033329
3/16/2017,17.46999931,17.46999931,17.71666718,17.27066612,17.49333382,106983000,16.72007434,16.90601952,17.31333351
3/17/2017,17.43333244,17.43333244,17.6886673,17.41333389,17.60000038,97462500,16.79629644,17.00189451,17.5466671
3/20/2017,17.46133232,17.46133232,17.63666725,17.25466728,17.37333298,54214500,16.89503712,17.08542857,17.48666668
3/21/2017,16.71199989,16.71199989,17.65333366,16.68266678,17.52199936,103629000,16.92325931,17.01753251,17.44766617
3/22/2017,17.00066757,17.00066757,17.00466728,16.70066643,16.77066612,60889500,16.99814818,17.01446616,17.14633274
3/23/2017,16.98533249,16.98533249,17.1779995,16.88666725,17.02599907,49803000,17.0802962,17.00916914,16.8983326
3/24/2017,17.54400063,17.54400063,17.59266663,17.00066757,17.0466671,84709500,17.20614815,17.10641113,17.03633308
